"District
Number",District,"Campus
Number",Campus,Region,County,"School
Type","Grades
Served","Alternative
Education
Accountability",Charter,"Number of
Students","%
Economically
Disadvantaged","% EB/EL
Students","Overall
Rating","Overall
Score","Student
Achievement
Rating","Student
Achievement
Score","School
Progress
Rating","School
Progress
Score","Academic
Growth
Rating","Academic
Growth
Score","Relative
Performance
Rating","Relative
Performance
Score","Closing
the Gaps Rating","Closing
the Gaps Score","Support
Label","Public
Education
Grant","Distinction
ELA/Reading","Distinction
Mathematics","Distinction
Science","Distinction
Soc Studies","Distinction
Progress","Distinction
Postsecondary
Readiness",,"US Congress
District","US Congress
Election District","TX House
District","TX House
Election District","TX Senate
District","TX Senate
Election District","Campus Enrollment
Type"
57910,GRAND PRAIRIE ISD,57910118,SAM RAYBURN EL STEAM ACADEMY,REGION 10: RICHARDSON,DALLAS,Elementary,PK - 05,No,No,463,83.40%,46%,B,83,C,70,B,81,B,81,C,75,B,86,,,Earned,Not Earned,Not Earned,,Not Earned,Not Earned,,30,30,104,104,23,23,COMBINED ENROLLMENT TYPE SCHOOL
57910,GRAND PRAIRIE ISD,57910119,LORENZO DE ZAVALA ENVIRONMENTAL SCIENCE ACADEMY,REGION 10: RICHARDSON,DALLAS,Elementary,KG - 05,No,No,704,85.10%,30.40%,B,84,C,74,B,82,C,76,B,82,A,90,,,Not Earned,Not Earned,Not Earned,,Earned,Earned,,30,30,104,104,23,23,COMBINED ENROLLMENT TYPE SCHOOL
57910,GRAND PRAIRIE ISD,57910120,SUZANNA DICKINSON MONTESSORI ACADEMY,REGION 10: RICHARDSON,DALLAS,Elementary,PK - 05,No,No,432,73.60%,33.30%,F,57,D,62,D,62,F,58,D,62,F,46,Comprehensive Identified,TRUE,Not Earned,Not Earned,Not Earned,,Not Earned,Not Earned,,30,30,111,111,23,23,COMBINED ENROLLMENT TYPE SCHOOL
57910,GRAND PRAIRIE ISD,57910121,GARNER FINE ARTS ACADEMY,REGION 10: RICHARDSON,DALLAS,Elementary,PK - 05,No,No,856,49.30%,7.80%,C,77,C,78,C,77,C,74,C,77,C,76,,,Not Earned,Not Earned,Not Earned,,Not Earned,Not Earned,,30,30,111,111,23,23,COMBINED ENROLLMENT TYPE SCHOOL
57910,GRAND PRAIRIE ISD,57910122,GLOBAL LEADERSHIP ACADEMY AT BARBARA BUSH EL,REGION 10: RICHARDSON,DALLAS,Elementary,KG - 05,No,No,405,84.40%,38.50%,D,68,D,64,D,69,D,69,D,69,D,65,,,Not Earned,Not Earned,Not Earned,,Not Earned,Not Earned,,30,30,104,104,23,23,COMBINED ENROLLMENT TYPE SCHOOL
57910,GRAND PRAIRIE ISD,57910123,COLIN POWELL EL,REGION 10: RICHARDSON,DALLAS,Elementary,KG - 05,No,No,482,46.30%,13.50%,A,92,A,92,A,92,A,92,A,91,A,93,,,Earned,Earned,Not Earned,,Earned,Earned,,30,30,111,111,23,23,COMBINED ENROLLMENT TYPE SCHOOL
57910,GRAND PRAIRIE ISD,57910124,HECTOR P GARCIA EL,REGION 10: RICHARDSON,DALLAS,Elementary,PK - 05,No,No,506,92.30%,57.70%,F,50,F,55,F,57,F,55,F,57,F,33,Comprehensive Identified,TRUE,Not Earned,Not Earned,Not Earned,,Not Earned,Not Earned,,33,33,104,104,16,16,ZONED SCHOOL-TRANSFERS ACCEPTED
57910,GRAND PRAIRIE ISD,57910125,SALLYE R MOORE COLLEGE & CAREER PREPARATORY,REGION 10: RICHARDSON,DALLAS,Elementary,PK - 08,No,No,651,77.30%,19%,B,82,C,77,B,85,C,75,B,85,C,76,,,Earned,Not Earned,Earned,Not Earned,Not Earned,Earned,,30,30,104,104,23,23,COMBINED ENROLLMENT TYPE SCHOOL
57910,GRAND PRAIRIE ISD,57910126,ERVIN C WHITT EL,REGION 10: RICHARDSON,DALLAS,Elementary,KG - 05,No,No,511,75.50%,21.10%,C,76,C,73,C,79,D,68,C,79,C,70,,,Not Earned,Not Earned,Not Earned,,Not Earned,Not Earned,,30,30,104,104,23,23,COMBINED ENROLLMENT TYPE SCHOOL
57910,GRAND PRAIRIE ISD,57910128,JUAN N SEGUIN EL,REGION 10: RICHARDSON,DALLAS,Elementary,KG - 05,No,No,375,86.40%,43.50%,C,71,D,60,C,71,C,71,D,66,C,70,,,Not Earned,Not Earned,Not Earned,,Not Earned,Not Earned,,33,33,104,104,23,23,ZONED SCHOOL-TRANSFERS ACCEPTED
57910,GRAND PRAIRIE ISD,57910129,THURGOOD MARSHALL LEADERSHIP ACADEMY,REGION 10: RICHARDSON,DALLAS,Elementary,PK - 05,No,No,628,74%,32%,C,77,C,73,C,79,F,57,C,79,C,71,,,Not Earned,Not Earned,Not Earned,,Not Earned,Not Earned,,30,30,104,104,23,23,COMBINED ENROLLMENT TYPE SCHOOL
57910,GRAND PRAIRIE ISD,57910130,MIKE MOSELEY EL,REGION 10: RICHARDSON,DALLAS,Elementary,PK - 05,No,No,613,69.20%,38%,B,82,C,77,B,82,C,76,B,82,B,81,,,Not Earned,Not Earned,Not Earned,,Not Earned,Not Earned,,30,30,109,109,23,23,COMBINED ENROLLMENT TYPE SCHOOL
57910,GRAND PRAIRIE ISD,57910131,HOBBS WILLIAMS EL,REGION 10: RICHARDSON,DALLAS,Elementary,KG - 05,No,No,611,85.30%,43.90%,F,59,F,58,D,60,F,59,D,60,F,56,,TRUE,Not Earned,Not Earned,Not Earned,,Not Earned,Not Earned,,33,33,104,104,23,23,ZONED SCHOOL-TRANSFERS ACCEPTED
57910,GRAND PRAIRIE ISD,57910132,DELMAS F MORTON EL,REGION 10: RICHARDSON,DALLAS,Elementary,KG - 05,No,No,454,88.30%,51.50%,C,74,D,62,C,75,C,75,D,69,C,71,,,Not Earned,Not Earned,Not Earned,,Not Earned,Not Earned,,6,6,104,104,23,23,ZONED SCHOOL-TRANSFERS ACCEPTED
57910,GRAND PRAIRIE ISD,57910134,BONHAM EES,REGION 10: RICHARDSON,DALLAS,Elementary,EE - KG,No,No,378,91.80%,53.70%,C,73,Not Rated,.,Not Rated,.,Not Rated,.,Not Rated,.,Not Rated,.,,,,,,,,,,33,33,104,104,23,23,SELECTIVE ENRL SCHL-SPCL PGM-BASED
57910,GRAND PRAIRIE ISD,57910135,SCHOOL FOR THE HIGHLY GIFTED,REGION 10: RICHARDSON,DALLAS,Elementary,01-אוג,No,No,128,28.90%,8.60%,A,99,A,99,A,99,A,99,A,98,A,100,,,Earned,Earned,Earned,Earned,Earned,Earned,,30,30,104,104,23,23,SELECTIVE ENRL SCHL-SPCL PGM-BASED
57910,GRAND PRAIRIE ISD,57910137,WILLIAM B TRAVIS WORLD LANGUAGE ACADEMY,REGION 10: RICHARDSON,DALLAS,Elementary,PK - 08,No,No,655,93.40%,75.90%,C,75,D,69,C,76,C,76,C,75,C,72,,,Not Earned,Not Earned,Not Earned,Not Earned,Not Earned,Not Earned,,33,33,104,104,16,16,COMBINED ENROLLMENT TYPE SCHOOL
57910,GRAND PRAIRIE ISD,57910138,CROCKETT EARLY EDUCATION SCHOOL,REGION 10: RICHARDSON,DALLAS,Elementary,EE - PK,No,No,527,90.90%,46.90%,C,73,Not Rated,.,Not Rated,.,Not Rated,.,Not Rated,.,Not Rated,.,,,,,,,,,,33,33,104,104,23,23,SELECTIVE ENRL SCHL-SPCL PGM-BASED
57911,HIGHLAND PARK ISD,,,REGION 10: RICHARDSON,DALLAS,District,,No,No,"6,527",0.40%,1.10%,A,95,A,95,B,88,B,88,B,84,A,94,,,,,,,,Earned,,,,,,,,
57911,HIGHLAND PARK ISD,57911001,HIGHLAND PARK H S,REGION 10: RICHARDSON,DALLAS,High School,09-דצמ,No,No,"2,251",0.50%,0.90%,A,95,A,95,B,87,B,84,B,87,A,96,,,Earned,Earned,Earned,Earned,Earned,Earned,,24,24,108,108,12,12,ZONED SCHOOL- NO TRANSFERS ACCEPTED
57911,HIGHLAND PARK ISD,57911041,HIGHLAND PARK MIDDLE,REGION 10: RICHARDSON,DALLAS,Middle School,07-אוג,No,No,"1,036",0.80%,1.10%,A,94,A,94,A,93,A,93,C,77,A,93,,,Not Earned,Not Earned,Not Earned,Not Earned,Earned,Not Earned,,24,24,108,108,12,12,ZONED SCHOOL- NO TRANSFERS ACCEPTED
57911,HIGHLAND PARK ISD,57911101,ARMSTRONG EL,REGION 10: RICHARDSON,DALLAS,Elementary,KG - 04,No,No,390,0%,0.30%,A,94,A,95,A,92,A,92,B,83,A,92,,,Earned,Not Earned,,,Earned,Not Earned,,24,24,108,108,12,12,ZONED SCHOOL-TRANSFERS ACCEPTED
57911,HIGHLAND PARK ISD,57911102,BRADFIELD EL,REGION 10: RICHARDSON,DALLAS,Elementary,EE - 04,No,No,559,0.50%,0.70%,A,94,A,95,A,90,A,90,B,85,A,90,,,Earned,Earned,,,Not Earned,Earned,,24,24,108,108,12,12,ZONED SCHOOL-TRANSFERS ACCEPTED
57911,HIGHLAND PARK ISD,57911103,HYER EL,REGION 10: RICHARDSON,DALLAS,Elementary,EE - 04,No,No,485,0%,0%,A,95,A,95,A,92,A,92,B,85,A,94,,,Earned,Earned,,,Earned,Earned,,24,24,108,108,12,12,ZONED SCHOOL-TRANSFERS ACCEPTED
57911,HIGHLAND PARK ISD,57911104,UNIVERSITY PARK EL,REGION 10: RICHARDSON,DALLAS,Elementary,EE - 04,No,No,436,0.50%,7.10%,A,95,A,96,B,89,B,89,B,86,A,94,,,Earned,Not Earned,,,Not Earned,Earned,,24,24,108,108,12,12,ZONED SCHOOL-TRANSFERS ACCEPTED
57911,HIGHLAND PARK ISD,57911105,MCCULLOCH INTERMEDIATE SCHOOL,REGION 10: RICHARDSON,DALLAS,Middle School,05-יונ,No,No,924,0.30%,0.50%,A,94,A,94,A,91,A,91,B,81,A,94,,,Earned,Earned,,,Not Earned,Earned,,24,24,108,108,12,12,ZONED SCHOOL-TRANSFERS ACCEPTED
57911,HIGHLAND PARK ISD,57911106,MICHAEL M BOONE EL,REGION 10: RICHARDSON,DALLAS,Elementary,KG - 04,No,No,446,0%,0.20%,A,96,A,96,A,95,A,95,B,89,A,95,,,Earned,Not Earned,,,Earned,Earned,,24,24,108,108,12,12,ZONED SCHOOL-TRANSFERS ACCEPTED
57912,IRVING ISD,,,REGION 10: RICHARDSON,DALLAS,District,,No,No,"31,730",87%,52.30%,C,72,D,68,C,73,C,70,C,73,C,70,,,,,,,,Not Earned,,,,,,,,
57912,IRVING ISD,57912002,IRVING H S,REGION 10: RICHARDSON,DALLAS,High School,09-דצמ,No,No,"2,519",85.50%,44.70%,D,69,D,69,C,70,D,64,C,70,D,68,,,Not Earned,Not Earned,Not Earned,Not Earned,Not Earned,Not Earned,,33,33,105,105,16,16,ZONED SCHOOL-TRANSFERS ACCEPTED
57912,IRVING ISD,57912003,MACARTHUR H S,REGION 10: RICHARDSON,DALLAS,High School,09-דצמ,No,No,"2,583",79.60%,34.50%,C,76,C,72,C,75,D,69,C,75,C,78,,,Not Earned,Earned,Not Earned,Earned,Not Earned,Not Earned,,6,6,105,105,16,16,ZONED SCHOOL-TRANSFERS ACCEPTED
57912,IRVING ISD,57912004,NIMITZ H S,REGION 10: RICHARDSON,DALLAS,High School,09-דצמ,No,No,"2,361",83.80%,38.40%,C,71,D,69,C,74,C,74,C,70,D,64,,,Not Earned,Not Earned,Not Earned,Not Earned,Earned,Not Earned,,6,6,105,105,16,16,ZONED SCHOOL-TRANSFERS ACCEPTED
57912,IRVING ISD,57912005,BARBARA CARDWELL CAREER PREPARATORY CENTER,REGION 10: RICHARDSON,DALLAS,High School,09-דצמ,Yes,No,256,84.80%,52.30%,B,80,C,78,B,86,B,86,C,76,D,65,,,,,,,,,,33,33,105,105,16,16,SELECTIVE ENRL SCHL-SPCL PGM-BASED
57912,IRVING ISD,57912006,JACK E SINGLEY ACADEMY,REGION 10: RICHARDSON,DALLAS,High School,09-דצמ,No,No,"1,337",83.60%,28%,B,85,B,83,B,85,C,77,B,85,B,85,,,Earned,Earned,Earned,Earned,Not Earned,Earned,,6,6,105,105,16,16,SELECTIVE ENRL SCHL-SPCL PGM-BASED
57912,IRVING ISD,57912007,DALLAS CO SCHOOL FOR ACCELERATED LRNG,REGION 10: RICHARDSON,DALLAS,High School,08-נוב,No,No,5,60%,60%,Not Rated,.,Not Rated,.,Not Rated,.,Not Rated,.,Not Rated,.,Not Rated,.,,,,,,,,,,33,33,100,100,23,23,SPECIAL ASSIGNMENT SCHOOL
57912,IRVING ISD,57912012,SOUTH IRVING COLLEGIATE ACADEMY,REGION 10: RICHARDSON,DALLAS,High School,09-ספט,No,No,95,95.80%,29.50%,A,94,A,92,A,94,B,85,A,94,A,95,,,Earned,Earned,Earned,,Earned,Earned,,6,6,105,105,16,16,SELECTIVE ENRL SCHL-SPCL PGM-BASED
57912,IRVING ISD,57912013,JACK E SINGLEY COLLEGIATE ACADEMY,REGION 10: RICHARDSON,DALLAS,High School,09-נוב,No,No,244,88.90%,35.70%,B,87,C,79,A,90,C,75,A,90,B,80,,,Earned,Not Earned,Earned,Earned,Not Earned,Earned,,6,,105,,16,,SELECTIVE ENRL SCHL-SPCL PGM-BASED
57912,IRVING ISD,57912041,BOWIE MIDDLE,REGION 10: RICHARDSON,DALLAS,Middle School,06-אוג,No,No,818,89.20%,59.70%,C,74,D,65,C,75,D,62,C,75,C,71,,,Not Earned,Not Earned,Not Earned,Not Earned,Not Earned,Not Earned,,33,33,105,105,16,16,ZONED SCHOOL-TRANSFERS ACCEPTED
57912,IRVING ISD,57912042,CROCKETT MIDDLE,REGION 10: RICHARDSON,DALLAS,Middle School,06-אוג,No,No,888,82.30%,63.70%,D,68,F,59,D,67,D,67,D,66,D,69,Additional Targeted Support,,Not Earned,Not Earned,Not Earned,Not Earned,Not Earned,Not Earned,,6,6,105,105,16,16,ZONED SCHOOL-TRANSFERS ACCEPTED
57912,IRVING ISD,57912043,TRAVIS MIDDLE,REGION 10: RICHARDSON,DALLAS,Middle School,06-אוג,No,No,971,89.30%,48.10%,B,82,C,74,B,85,C,79,B,85,C,75,,,Earned,Earned,Not Earned,Not Earned,Earned,Not Earned,,6,6,105,105,16,16,ZONED SCHOOL-TRANSFERS ACCEPTED
57912,IRVING ISD,57912044,LAMAR MIDDLE,REGION 10: RICHARDSON,DALLAS,Middle School,06-אוג,No,No,670,87%,52.70%,C,78,D,69,C,79,C,72,C,79,C,74,Additional Targeted Support,,Not Earned,Not Earned,Not Earned,Not Earned,Not Earned,Not Earned,,6,6,105,105,16,16,ZONED SCHOOL-TRANSFERS ACCEPTED
57912,IRVING ISD,57912045,AUSTIN MIDDLE,REGION 10: RICHARDSON,DALLAS,Middle School,06-אוג,No,No,844,91.70%,69.20%,D,68,D,64,C,75,F,58,C,75,F,53,,,Not Earned,Not Earned,Not Earned,Not Earned,Not Earned,Not Earned,,33,33,105,105,16,16,ZONED SCHOOL-TRANSFERS ACCEPTED
57912,IRVING ISD,57912046,HOUSTON MIDDLE,REGION 10: RICHARDSON,DALLAS,Middle School,06-אוג,No,No,829,86.60%,38.60%,D,69,D,67,C,77,D,69,C,77,D,66,,,Not Earned,Not Earned,Not Earned,Not Earned,Not Earned,Not Earned,,33,33,105,105,16,16,ZONED SCHOOL-TRANSFERS ACCEPTED
57912,IRVING ISD,57912048,LORENZO DE ZAVALA MIDDLE,REGION 10: RICHARDSON,DALLAS,Middle School,06-אוג,No,No,852,86%,59.90%,B,86,C,76,B,87,C,79,B,87,B,85,,,Not Earned,Earned,Earned,Earned,Earned,Earned,,6,6,105,105,16,16,ZONED SCHOOL-TRANSFERS ACCEPTED
57912,IRVING ISD,57912050,LADY BIRD JOHNSON MIDDLE,REGION 10: RICHARDSON,DALLAS,Middle School,06-אוג,No,No,854,87.10%,50.50%,C,77,D,69,C,79,C,75,C,79,C,72,Targeted Support,,Not Earned,Not Earned,Not Earned,Not Earned,Not Earned,Not Earned,,6,6,105,105,16,16,ZONED SCHOOL-TRANSFERS ACCEPTED
57912,IRVING ISD,57912101,BARTON EL,REGION 10: RICHARDSON,DALLAS,Elementary,PK - 05,No,No,837,91.30%,73.10%,D,69,F,52,C,70,C,70,F,54,D,65,,,Not Earned,Not Earned,Not Earned,,Not Earned,Not Earned,,6,6,105,105,16,16,ZONED SCHOOL-TRANSFERS ACCEPTED
57912,IRVING ISD,57912102,BROWN EL,REGION 10: RICHARDSON,DALLAS,Elementary,PK - 05,No,No,700,91.30%,64.70%,D,67,D,62,D,69,D,66,D,69,D,61,,,Not Earned,Not Earned,Not Earned,,Not Earned,Not Earned,,6,6,105,105,16,16,ZONED SCHOOL-TRANSFERS ACCEPTED
57912,IRVING ISD,57912103,BRITAIN EL,REGION 10: RICHARDSON,DALLAS,Elementary,EE - 05,No,No,601,92.80%,69.60%,D,68,F,53,D,69,D,69,F,55,D,64,Targeted Support,,Not Earned,Not Earned,Not Earned,,Not Earned,Not Earned,,33,33,105,105,16,16,ZONED SCHOOL-TRANSFERS ACCEPTED
57912,IRVING ISD,57912105,GOOD EL,REGION 10: RICHARDSON,DALLAS,Elementary,PK - 05,No,No,696,94.80%,78.40%,D,62,F,57,D,66,D,66,D,60,F,54,,,Not Earned,Not Earned,Not Earned,,Not Earned,Not Earned,,33,33,105,105,16,16,ZONED SCHOOL-TRANSFERS ACCEPTED
57912,IRVING ISD,57912106,HALEY J EL,REGION 10: RICHARDSON,DALLAS,Elementary,PK - 05,No,No,691,91.30%,71.30%,F,59,F,56,D,63,D,63,F,58,F,51,,TRUE,Not Earned,Not Earned,Not Earned,,Not Earned,Not Earned,,33,33,105,105,16,16,ZONED SCHOOL-TRANSFERS ACCEPTED
57912,IRVING ISD,57912107,HALEY T EL,REGION 10: RICHARDSON,DALLAS,Elementary,PK - 05,No,No,798,86.30%,39.60%,D,69,D,62,D,69,D,69,D,69,C,71,,,Not Earned,Not Earned,Not Earned,,Not Earned,Not Earned,,33,33,105,105,16,16,ZONED SCHOOL-TRANSFERS ACCEPTED
57912,IRVING ISD,57912108,JOHNSTON EL,REGION 10: RICHARDSON,DALLAS,Elementary,PK - 05,No,No,798,87.10%,64.40%,F,59,F,51,D,63,D,63,F,53,F,51,Additional Targeted Support,TRUE,Not Earned,Not Earned,Not Earned,,Not Earned,Not Earned,,6,6,105,105,16,16,ZONED SCHOOL-TRANSFERS ACCEPTED
57912,IRVING ISD,57912109,KEYES EL,REGION 10: RICHARDSON,DALLAS,Elementary,PK - 05,No,No,685,92.10%,69.60%,D,69,F,59,C,76,C,76,D,65,D,66,,,Not Earned,Not Earned,Not Earned,,Not Earned,Not Earned,,33,33,105,105,16,16,ZONED SCHOOL-TRANSFERS ACCEPTED
57912,IRVING ISD,57912111,LEE EL,REGION 10: RICHARDSON,DALLAS,Elementary,PK - 05,No,No,708,89.10%,40.70%,D,65,F,56,D,65,D,65,F,57,D,66,,,Not Earned,Not Earned,Not Earned,,Not Earned,Not Earned,,6,6,105,105,16,16,ZONED SCHOOL-TRANSFERS ACCEPTED
57912,IRVING ISD,57912112,LIVELY EL,REGION 10: RICHARDSON,DALLAS,Elementary,PK - 05,No,No,778,89.10%,59.10%,D,69,F,57,C,74,C,74,F,59,D,68,,,Not Earned,Not Earned,Not Earned,,Not Earned,Not Earned,,6,6,105,105,16,16,ZONED SCHOOL-TRANSFERS ACCEPTED
57912,IRVING ISD,57912113,FARINE EL,REGION 10: RICHARDSON,DALLAS,Elementary,PK - 05,No,No,877,79.70%,47%,C,72,D,69,C,72,C,70,C,72,C,71,,,Not Earned,Not Earned,Earned,,Not Earned,Not Earned,,6,6,105,105,16,16,ZONED SCHOOL-TRANSFERS ACCEPTED
57912,IRVING ISD,57912114,SCHULZE EL,REGION 10: RICHARDSON,DALLAS,Elementary,PK - 05,No,No,637,92.50%,68.90%,D,69,F,56,C,70,C,70,F,59,D,65,,,Not Earned,Not Earned,Not Earned,,Not Earned,Not Earned,,6,6,105,105,16,16,ZONED SCHOOL-TRANSFERS ACCEPTED
57912,IRVING ISD,57912116,BRANDENBURG EL,REGION 10: RICHARDSON,DALLAS,Elementary,PK - 05,No,No,910,87%,58.70%,D,68,D,62,D,69,D,69,D,69,D,66,,,Not Earned,Not Earned,Not Earned,,Not Earned,Not Earned,,6,6,105,105,16,16,ZONED SCHOOL-TRANSFERS ACCEPTED
57912,IRVING ISD,57912118,ELLIOTT EL,REGION 10: RICHARDSON,DALLAS,Elementary,PK - 05,No,No,511,85.30%,56.60%,B,84,C,74,B,82,C,79,B,82,B,88,,,Not Earned,Not Earned,Not Earned,,Not Earned,Earned,,6,6,105,105,16,16,ZONED SCHOOL-TRANSFERS ACCEPTED
57912,IRVING ISD,57912119,HANES EL,REGION 10: RICHARDSON,DALLAS,Elementary,PK - 05,No,No,676,87.40%,52.20%,F,57,F,58,D,60,F,59,D,60,F,51,,TRUE,Not Earned,Not Earned,Not Earned,,Not Earned,Not Earned,,6,6,105,105,16,16,ZONED SCHOOL-TRANSFERS ACCEPTED
57912,IRVING ISD,57912120,TOWNLEY EL,REGION 10: RICHARDSON,DALLAS,Elementary,PK - 05,No,No,648,86.90%,50.60%,D,66,D,60,D,66,D,65,D,66,D,65,,,Not Earned,Not Earned,Not Earned,,Not Earned,Not Earned,,6,6,105,105,16,16,ZONED SCHOOL-TRANSFERS ACCEPTED
57912,IRVING ISD,57912121,DAVIS EL,REGION 10: RICHARDSON,DALLAS,Elementary,PK - 05,No,No,833,88.20%,49.20%,D,69,F,55,C,75,C,75,F,56,D,66,,,Not Earned,Not Earned,Not Earned,,Not Earned,Not Earned,,6,6,105,105,16,16,ZONED SCHOOL-TRANSFERS ACCEPTED
57912,IRVING ISD,57912122,GILBERT F M EL,REGION 10: RICHARDSON,DALLAS,Elementary,PK - 05,No,No,722,93.40%,76.70%,B,85,C,72,B,83,B,83,B,81,B,89,,,Not Earned,Not Earned,Not Earned,,Not Earned,Not Earned,,33,33,105,105,16,16,ZONED SCHOOL-TRANSFERS ACCEPTED
57912,IRVING ISD,57912123,JACKIE MAE TOWNSELL EL,REGION 10: RICHARDSON,DALLAS,Elementary,PK - 05,No,No,839,87.20%,57%,D,67,F,59,D,66,D,66,D,63,D,68,,,Not Earned,Not Earned,Not Earned,,Not Earned,Not Earned,,33,33,105,105,16,16,ZONED SCHOOL-TRANSFERS ACCEPTED
57912,IRVING ISD,57912124,JOHN W AND MARGIE STIPES EL,REGION 10: RICHARDSON,DALLAS,Elementary,PK - 05,No,No,620,82.90%,51.90%,D,69,D,69,C,74,D,60,C,74,D,61,,,Not Earned,Not Earned,Not Earned,,Not Earned,Not Earned,,6,6,105,105,16,16,ZONED SCHOOL-TRANSFERS ACCEPTED
57912,IRVING ISD,57912161,CLIFTON EARLY CHILDHOOD,REGION 10: RICHARDSON,DALLAS,Elementary,EE - PK,No,No,423,93.90%,57.70%,D,68,Not Rated,.,Not Rated,.,Not Rated,.,Not Rated,.,Not Rated,.,,,,,,,,,,33,33,105,105,16,16,ZONED SCHOOL-TRANSFERS ACCEPTED
57912,IRVING ISD,57912162,PIERCE EARLY CHILDHOOD,REGION 10: RICHARDSON,DALLAS,Elementary,EE - PK,No,No,292,94.20%,67.50%,B,85,Not Rated,.,Not Rated,.,Not Rated,.,Not Rated,.,Not Rated,.,,,,,,,,,,33,33,105,105,16,16,ZONED SCHOOL-TRANSFERS ACCEPTED
57912,IRVING ISD,57912163,KINKEADE EARLY CHILDHOOD,REGION 10: RICHARDSON,DALLAS,Elementary,EE - PK,No,No,324,92.60%,58.60%,D,67,Not Rated,.,Not Rated,.,Not Rated,.,Not Rated,.,Not Rated,.,,,,,,,,,,6,6,105,105,16,16,ZONED SCHOOL-TRANSFERS ACCEPTED
57913,LANCASTER ISD,,,REGION 10: RICHARDSON,DALLAS,District,,No,No,"7,032",86.60%,10.70%,D,69,D,68,C,72,D,66,C,72,D,69,,,,,,,,Not Earned,,,,,,,,
57913,LANCASTER ISD,57913001,LANCASTER H S,REGION 10: RICHARDSON,DALLAS,High School,09-דצמ,No,No,"2,250",84.20%,9.20%,C,73,C,74,C,73,D,62,C,73,D,69,,,Not Earned,Not Earned,Not Earned,Not Earned,Not Earned,Not Earned,,30,30,109,109,23,23,ZONED SCHOOL-TRANSFERS ACCEPTED
57913,LANCASTER ISD,57913041,LANCASTER MIDDLE,REGION 10: RICHARDSON,DALLAS,Middle School,07-אוג,No,No,"1,007",84.30%,10.90%,C,74,D,60,C,75,C,75,D,69,C,72,Targeted Support,,Earned,Not Earned,Not Earned,Not Earned,Earned,Not Earned,,30,30,109,109,23,23,ZONED SCHOOL-TRANSFERS ACCEPTED
57913,LANCASTER ISD,57913042,G W CARVER 6TH GRADE STEM LEARNING CENTER,REGION 10: RICHARDSON,DALLAS,Middle School,06-יונ,No,No,483,86.50%,13.50%,F,59,F,59,D,66,F,51,D,66,F,49,Comprehensive Progress,TRUE,Not Earned,Not Earned,,,Not Earned,Not Earned,,30,30,109,109,23,23,ZONED SCHOOL-TRANSFERS ACCEPTED
57913,LANCASTER ISD,57913101,PLEASANT RUN EL,REGION 10: RICHARDSON,DALLAS,Elementary,PK - 05,No,No,622,99.20%,2.60%,C,75,D,60,C,75,C,75,D,69,C,76,,,Not Earned,Not Earned,Earned,,Earned,Not Earned,,30,30,109,109,23,23,ZONED SCHOOL-TRANSFERS ACCEPTED
57913,LANCASTER ISD,57913102,HOUSTON EL,REGION 10: RICHARDSON,DALLAS,Elementary,PK - 05,No,No,674,89%,47.30%,D,69,D,65,C,72,F,59,C,72,D,64,,,Not Earned,Not Earned,Not Earned,,Not Earned,Not Earned,,30,30,109,109,23,23,ZONED SCHOOL-TRANSFERS ACCEPTED
57913,LANCASTER ISD,57913103,WEST MAIN EL,REGION 10: RICHARDSON,DALLAS,Elementary,PK - 05,No,No,603,84.90%,4.30%,C,76,C,71,C,77,D,69,C,77,C,74,,,Earned,Not Earned,Not Earned,,Not Earned,Not Earned,,30,30,109,109,23,23,ZONED SCHOOL-TRANSFERS ACCEPTED
57913,LANCASTER ISD,57913106,ROSA PARKS/MILLBROOK EL,REGION 10: RICHARDSON,DALLAS,Elementary,EE - 05,No,No,420,84.30%,1.20%,B,80,C,75,B,83,C,70,B,83,C,74,,,Earned,Earned,Not Earned,,Not Earned,Earned,,30,30,109,109,23,23,ZONED SCHOOL-TRANSFERS ACCEPTED
57913,LANCASTER ISD,57913107,ROLLING HILLS EL,REGION 10: RICHARDSON,DALLAS,Elementary,EE - 05,No,No,434,88.70%,0.90%,C,75,D,64,C,74,C,74,C,70,C,76,,,Not Earned,Not Earned,Earned,,Not Earned,Not Earned,,30,30,109,109,23,23,ZONED SCHOOL-TRANSFERS ACCEPTED
57913,LANCASTER ISD,57913109,BELT LINE EL,REGION 10: RICHARDSON,DALLAS,Elementary,EE - 05,No,No,536,85.10%,0.40%,B,82,C,77,B,85,C,76,B,85,C,75,,,Earned,Not Earned,Not Earned,,Earned,Earned,,30,30,109,109,23,23,ZONED SCHOOL-TRANSFERS ACCEPTED
57913,LANCASTER ISD,57913111,L ISD J J A E P,REGION 10: RICHARDSON,DALLAS,High School,10-נוב,No,No,3,100%,0%,Not Rated,.,Not Rated,.,Not Rated,.,Not Rated,.,Not Rated,.,Not Rated,.,,,,,,,,,,30,30,109,109,23,23,SPECIAL ASSIGNMENT SCHOOL
57914,MESQUITE ISD,,,REGION 10: RICHARDSON,DALLAS,District,,No,No,"38,343",83.20%,33.60%,C,77,C,72,C,78,C,72,C,78,C,75,,,,,,,,Not Earned,,,,,,,,
